Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
finetuned_correct2,(default package),RegisteredLookupExtractionFn,8,0,12,11,62,14,0,0,0.5,0,0
finetuned_correct2,(default package),MQVersion,3,1,5,4,23,5,0,0,0.0,1,0
finetuned_correct2,(default package),MQVersion,1,1,2,2,16,2,0,0,1.0,0,0
finetuned_correct2,(default package),DefaultMQProducer,1,0,29,29,90,29,0,0,0.13793103448275862,0,2
finetuned_correct2,(default package),MQClientInstanceRefactored,21,0,12,6,218,36,0,0,0.3333333333333333,0,4
finetuned_correct2,(default package),DefaultMQAdminExtImpl,5,0,17,17,117,31,0,0,0.35294117647058826,0,2
finetuned_correct2,(default package),from,41,0,0,0,41,0,0,0,-1.0,9,4
finetuned_correct2,(default package),RouteInfoManager,28,0,12,11,120,13,0,0,0.16666666666666666,0,4
finetuned_correct2,(default package),BrokerLiveInfo,3,0,8,8,31,8,0,0,0.0,0,0
finetuned_correct2,(default package),CliResultView,9,0,12,1,93,18,0,0,0.3333333333333333,0,0
finetuned_correct2,(default package),RefreshThread,0,0,0,0,2,0,0,0,-1.0,0,0
finetuned_correct2,(default package),Broker2Client,3,0,10,5,98,15,0,0,0.6,0,1
finetuned_correct2,(default package),CoordinatorResource,2,0,7,5,55,12,0,0,0.0,0,0
finetuned_correct2,(default package),ResponseUtil,0,0,2,2,14,4,0,0,-1.0,0,0
finetuned_correct2,(default package),RMContainerTokenSecretManager,4,0,10,10,92,13,0,0,0.5,0,0
finetuned_correct2,(default package),MasterKeyRoller,0,0,1,1,5,1,0,0,-1.0,0,0
finetuned_correct2,(default package),NextKeyActivator,0,0,1,1,5,1,0,0,-1.0,0,0
finetuned_correct2,(default package),AbstractAsynchronousFileIOChannel,7,0,6,3,42,10,0,0,1.0,0,0
finetuned_correct2,(default package),FileAsynchronousFileIOChannel,0,0,3,2,11,3,0,0,-1.0,0,0
finetuned_correct2,(default package),AbstractSegmentRequest,1,0,1,0,6,1,0,0,0.0,0,0
finetuned_correct2,(default package),SegmentReadRequest,1,0,3,1,20,4,0,0,0.6666666666666666,0,0
finetuned_correct2,(default package),SegmentWriteRequest,0,0,3,1,11,3,0,0,-1.0,0,0
finetuned_correct2,(default package),BufferWriteRequest,1,0,2,1,9,2,0,0,1.0,0,0
finetuned_correct2,(default package),RBFConfigKeys,105,105,0,0,113,0,0,0,-1.0,0,0
finetuned_correct2,(default package),AbstractByteBufferedOutputChannel,9,0,11,9,163,39,0,0,0.0,0,0
finetuned_correct2,(default package),Http11AprProcessor,58,0,3,1,80,3,0,0,0.6666666666666666,0,0
finetuned_correct2,(default package),Http2TestBase,9,0,37,1,86,37,0,0,1.0,0,0
finetuned_correct2,(default package),LocalInstanceManager,10,0,11,10,110,25,0,0,0.36363636363636365,0,0
finetuned_correct2,(default package),ClusterManager,17,0,18,10,70,20,0,0,1.0,0,0
finetuned_correct2,(default package),DefaultMQProducerTest,3,0,17,13,152,21,0,0,0.35294117647058826,0,3
finetuned_correct2,(default package),SendResultWrapper,7,0,8,5,34,8,0,0,0.25,0,0
finetuned_correct2,(default package),MixAll,37,11,15,15,167,23,0,0,1.0,11,1
finetuned_correct2,(default package),NettyRemotingClient,65,0,12,8,147,16,0,0,0.5833333333333334,0,5
finetuned_correct2,(default package),RemoteBrokerOffsetStoreTest,67,0,6,5,128,6,0,0,0.3333333333333333,0,4
finetuned_correct2,(default package),DefaultMQPushConsumer,29,0,26,23,111,26,0,0,0.19230769230769232,0,2
finetuned_correct2,(default package),DefaultMQProducerImpl,78,0,3,3,108,5,0,0,0.0,5,7
