Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
codellama_correct,(default package),DefaultMQPushConsumer,DefaultMQPushConsumer,5,1,3
codellama_correct,(default package),DefaultMQPushConsumer,DefaultMQPushConsumer,3,1,1
codellama_correct,(default package),DefaultMQPushConsumer,DefaultMQPushConsumer,3,1,1
codellama_correct,(default package),DefaultMQPushConsumer,createTopic,3,1,3
codellama_correct,(default package),DefaultMQPushConsumer,createTopic,3,1,4
codellama_correct,(default package),DefaultMQPushConsumer,setConsumerGroup,3,1,1
codellama_correct,(default package),DefaultMQPushConsumer,setMessageModel,3,1,1
codellama_correct,(default package),DefaultMQPushConsumer,setConsumeFromWhere,3,1,1
codellama_correct,(default package),DefaultMQPushConsumer,setConsumeTimestamp,3,1,1
codellama_correct,(default package),DefaultMQPushConsumer,setAllocateMessageQueueStrategy,3,1,1
codellama_correct,(default package),DefaultMQPushConsumer,setSubscription,3,1,1
codellama_correct,(default package),DefaultMQPushConsumer,setMessageListener,3,1,1
codellama_correct,(default package),DefaultMQPushConsumer,setOffsetStore,3,1,1
codellama_correct,(default package),DefaultMQPushConsumer,setConsumeThreadMin,3,1,1
codellama_correct,(default package),DefaultMQPushConsumer,setConsumeThreadMax,3,1,1
codellama_correct,(default package),Consumer,main,65,4,1
codellama_correct,(default package),Consumer,run,6,2,0
codellama_correct,(default package),Consumer,printStats,10,2,0
codellama_correct,(default package),Consumer,run,8,1,0
codellama_correct,(default package),Consumer,consumeMessage,12,1,2
codellama_correct,(default package),Consumer,buildCommandlineOptions,12,1,1
codellama_correct,(default package),Consumer,compareAndSetMax,8,3,2
codellama_correct,(default package),StatsBenchmarkConsumer,createSnapshot,4,1,0
codellama_correct,(default package),StatsBenchmarkConsumer,getReceiveMessageTotalCount,3,1,0
codellama_correct,(default package),StatsBenchmarkConsumer,getBorn2ConsumerTotalRT,3,1,0
codellama_correct,(default package),StatsBenchmarkConsumer,getStore2ConsumerTotalRT,3,1,0
codellama_correct,(default package),StatsBenchmarkConsumer,getBorn2ConsumerMaxRT,3,1,0
codellama_correct,(default package),AbstractUnfilteredRowIterator,AbstractUnfilteredRowIterator,8,1,5
codellama_correct,(default package),AbstractUnfilteredRowIterator,hasNext,3,1,0
codellama_correct,(default package),AbstractUnfilteredRowIterator,next,4,2,0
codellama_correct,(default package),AbstractUnfilteredRowIterator,next,0,1,5
codellama_correct,(default package),AbstractUnfilteredRowIterator,remove,3,1,0
codellama_correct,(default package),RowAndDeletionMergeIterator,RowAndDeletionMergeIterator,9,1,8
codellama_correct,(default package),RowAndDeletionMergeIterator,hasNext,3,1,0
codellama_correct,(default package),RowAndDeletionMergeIterator,next,11,4,0
codellama_correct,(default package),RowAndDeletionMergeIterator,remove,3,1,0
codellama_correct,(default package),IFailureDetectionEventListener,onJoin,0,1,1
codellama_correct,(default package),IFailureDetectionEventListener,onLeave,0,1,1
codellama_correct,(default package),IEndpointStateChangeSubscriber,onChange,0,1,2
codellama_correct,(default package),GossipDigest,GossipDigest,4,1,2
codellama_correct,(default package),GossipDigest,getEndpoint,3,1,0
codellama_correct,(default package),GossipDigest,getTimestamp,3,1,0
codellama_correct,(default package),GossipDigestSyn,GossipDigestSyn,3,1,3
codellama_correct,(default package),GossipDigestSyn,getDigests,3,1,0
codellama_correct,(default package),GossipTask,GossipTask,3,1,1
codellama_correct,(default package),GossipTask,run,3,1,0
codellama_correct,(default package),DebuggableScheduledThreadPoolExecutor,DebuggableScheduledThreadPoolExecutor,4,1,6
codellama_correct,(default package),DebuggableScheduledThreadPoolExecutor,execute,3,1,1
codellama_correct,(default package),GossiperMBean,GossiperMBean,3,1,1
codellama_correct,(default package),GossiperMBean,getAttribute,3,1,1
codellama_correct,(default package),GossiperMBean,setAttribute,3,1,2
codellama_correct,(default package),GossiperMBean,invoke,3,1,3
codellama_correct,(default package),ServiceConfig,getZookeeperServers,3,1,0
codellama_correct,(default package),ServiceConfig,setZookeeperServers,3,1,1
codellama_correct,(default package),ServiceConfig,getGlobalZookeeperServers,3,1,0
codellama_correct,(default package),ServiceConfig,setGlobalZookeeperServers,3,1,1
codellama_correct,(default package),ServiceConfig,getConfigurationStoreServers,3,1,0
codellama_correct,(default package),ServiceConfig,setConfigurationStoreServers,3,1,1
codellama_correct,(default package),ServiceConfig,getZookeeperSessionTimeoutMs,3,1,0
codellama_correct,(default package),ServiceConfig,setZookeeperSessionTimeoutMs,3,1,1
codellama_correct,(default package),ServiceConfig,getServicePort,3,1,0
codellama_correct,(default package),ServiceConfig,setServicePort,3,1,1
codellama_correct,(default package),ServiceConfig,getServicePortTls,3,1,0
codellama_correct,(default package),ServiceConfig,setServicePortTls,3,1,1
codellama_correct,(default package),ServiceConfig,getWebServicePort,3,1,0
codellama_correct,(default package),ServiceConfig,setWebServicePort,3,1,1
codellama_correct,(default package),ServiceConfig,getWebServicePortTls,3,1,0
codellama_correct,(default package),ServiceConfig,setWebServicePortTls,3,1,1
codellama_correct,(default package),ServiceConfig,isTlsEnabled,3,1,0
codellama_correct,(default package),ServiceConfig,setTlsEnabled,3,1,1
codellama_correct,(default package),ServiceConfig,getTlsCertificateFilePath,0,1,0
codellama_correct,(default package),WebServer,WebServer,27,2,2
codellama_correct,(default package),WebServer,getServiceUri,3,1,0
codellama_correct,(default package),WebServer,addServlet,3,1,2
codellama_correct,(default package),WebServer,addServlet,18,4,3
codellama_correct,(default package),WebServer,addRestResources,0,1,4
codellama_correct,(default package),ProxyRolesEnforcementTest,setup,22,1,0
codellama_correct,(default package),ProxyRolesEnforcementTest,cleanup,3,1,0
codellama_correct,(default package),ProxyRolesEnforcementTest,testIncorrectRoles,46,1,0
codellama_correct,(default package),ProxyRolesEnforcementTest,createAdminClient,4,1,0
codellama_correct,(default package),ProxyRolesEnforcementTest,createPulsarClient,2,1,2
codellama_correct,(default package),ProxyService,ProxyService,16,1,2
codellama_correct,(default package),ProxyService,start,28,3,0
codellama_correct,(default package),ProxyService,getZooKeeperClientFactory,6,2,0
codellama_correct,(default package),ProxyService,getDiscoveryProvider,3,1,0
codellama_correct,(default package),ProxyService,close,7,2,0
codellama_correct,(default package),ProxyService,getServiceUrl,3,1,0
codellama_correct,(default package),ProxyService,getServiceUrlTls,3,1,0
codellama_correct,(default package),ProxyService,getConfiguration,2,1,0
codellama_correct,(default package),ProxyAuthenticationTest,BasicAuthenticationData,3,1,1
codellama_correct,(default package),ProxyAuthenticationTest,hasDataFromCommand,3,1,0
codellama_correct,(default package),ProxyAuthenticationTest,getCommandData,3,1,0
codellama_correct,(default package),ProxyAuthenticationTest,hasDataForHttp,3,1,0
codellama_correct,(default package),ProxyAuthenticationTest,getHttpHeaders,5,1,0
codellama_correct,(default package),ProxyAuthenticationTest,close,2,1,0
