Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
developer_after_correct,org.apache.flink.table.types.logical,Builder,Builder,4,1,2
developer_after_correct,org.apache.flink.table.types.logical,Builder,attributes,4,1,1
developer_after_correct,org.apache.flink.table.types.logical,Builder,setNullable,4,1,1
developer_after_correct,org.apache.flink.table.types.logical,Builder,description,4,1,1
developer_after_correct,org.apache.flink.table.types.logical,Builder,setFinal,4,1,1
developer_after_correct,org.apache.flink.table.types.logical,Builder,setInstantiable,4,1,1
developer_after_correct,org.apache.flink.table.types.logical,Builder,comparision,4,1,1
developer_after_correct,org.apache.flink.table.types.logical,Builder,superType,4,1,1
developer_after_correct,org.apache.flink.table.types.logical,Builder,build,3,1,0
developer_after_correct,org.apache.catalina.connector,Connector,Connector,3,1,0
developer_after_correct,org.apache.catalina.connector,Connector,Connector,38,6,1
developer_after_correct,org.apache.catalina.connector,Connector,getProperty,6,2,1
developer_after_correct,org.apache.catalina.connector,Connector,setProperty,6,2,2
developer_after_correct,org.apache.catalina.connector,Connector,getAttribute,3,1,1
developer_after_correct,org.apache.catalina.connector,Connector,setAttribute,3,1,2
developer_after_correct,org.apache.catalina.connector,Connector,getService,3,1,0
developer_after_correct,org.apache.catalina.connector,Connector,setService,3,1,1
developer_after_correct,org.apache.catalina.connector,Connector,getAllowTrace,3,1,0
developer_after_correct,org.apache.catalina.connector,Connector,setAllowTrace,4,1,1
developer_after_correct,org.apache.catalina.connector,Connector,getAsyncTimeout,3,1,0
developer_after_correct,org.apache.catalina.connector,Connector,setAsyncTimeout,4,1,1
developer_after_correct,org.apache.catalina.connector,Connector,getEnableLookups,3,1,0
developer_after_correct,org.apache.catalina.connector,Connector,setEnableLookups,4,1,1
developer_after_correct,org.apache.catalina.connector,Connector,getMaxCookieCount,3,1,0
developer_after_correct,org.apache.catalina.connector,Connector,setMaxCookieCount,3,1,1
developer_after_correct,org.apache.catalina.connector,Connector,getMaxParameterCount,3,1,0
developer_after_correct,org.apache.catalina.connector,Connector,setMaxParameterCount,4,1,1
developer_after_correct,org.apache.catalina.connector,Connector,getMaxPostSize,3,1,0
developer_after_correct,org.apache.catalina.connector,Connector,setMaxPostSize,4,1,1
developer_after_correct,org.apache.catalina.connector,Connector,getMaxSavePostSize,3,1,0
developer_after_correct,org.apache.catalina.connector,Connector,setMaxSavePostSize,4,1,1
developer_after_correct,org.apache.catalina.connector,Connector,getParseBodyMethods,3,1,0
developer_after_correct,org.apache.catalina.connector,Connector,setParseBodyMethods,12,3,1
developer_after_correct,org.apache.catalina.connector,Connector,isParseBodyMethod,3,1,1
developer_after_correct,org.apache.catalina.connector,Connector,getPort,3,1,0
developer_after_correct,org.apache.catalina.connector,Connector,setPort,4,1,1
developer_after_correct,org.apache.catalina.connector,Connector,getLocalPort,3,1,0
developer_after_correct,org.apache.catalina.connector,Connector,getProtocol,9,3,0
developer_after_correct,org.apache.catalina.connector,Connector,getProtocolHandlerClassName,3,1,0
developer_after_correct,org.apache.catalina.connector,Connector,getProtocolHandler,3,1,0
developer_after_correct,org.apache.catalina.connector,Connector,getProxyName,3,1,0
developer_after_correct,org.apache.catalina.connector,Connector,setProxyName,9,2,1
